,城市名,英文名,别名,人口数量,地区生产总值,车牌号,行政级别,省份
189,伊犁哈萨克自治州,Ili Kazak Autonomous Prefecture,伊犁、伊犁州、塞外江南,455.68 万,2226.45 亿元,新D、新F、新G、新H,自治州,新疆维吾尔自治区
190,济宁市,Jining,nan,835.6万人,4370.17亿元,鲁H,地级市,山东省
191,秦皇岛市,Qinhuangdao/Chinwangtao,中国夏都、京津后花园、长城滨海公园、渤海明珠城,314.63万,1612.02亿元,冀C,地级市,河北省
192,宜春市,Yichun City,袁州、宜春侯国,户籍人口603.81万人,2687.57亿元,赣C,设区的市,江西省
193,酒泉市,Jiuquan City,肃州,113.22 万,618.2亿,甘F,地级市,甘肃省
194,潍坊市,Weifang City,世界风筝都、鸢都,935.15万,5688.5亿元,鲁G、鲁V,地级市,山东省
195,三亚市,Sanya,崖州、鹿城,634369人,677.86亿元,琼B,地级市,海南省
196,北海市,Beihai,珠城,175.42万人,1300.80亿,桂E,地级市,广西壮族自治区
197,淮安市,Huai'an,淮阴,493.26 万,3871.21 亿元,苏H,地级市,江苏省
198,廊坊市,Langfang,京津走廊明珠,492.05万人,3196亿元,冀R,地级市,河北省
199,龙岩市,Longyan City,闽西,户籍人口318.24万，常住人口264万,2678.96亿元,闽F,地级市,福建省
200,湘潭市,Xiangtan,莲城、潭城,286.5万人,2161.4亿元,湘C,地级市,湖南省
201,常州市,Changzhou City,毗陵、武进、中吴、龙城等,472.9万人,7400.9亿元,苏D,地级市,江苏省
202,桂林市,Guilin,八桂、桂州、始安、静江,户籍人口540.60万人,2105.56亿元,桂C,地级市,广西壮族自治区
203,商洛市,Shangluo City,鹤城、商州、上洛,237.91万人,837.21亿元,陕H,地级市,陕西省
204,梧州市,Wuzhou、Ngchow、Wuchow,绿城水都,352万人,991.40亿元,桂D,地级市,广西壮族自治区
205,辽阳市,Liaoyang City,襄平、辽东城,183.1万人,831.0亿元,辽K,地级市,辽宁省
206,乌海市,Wuhai,狮城,56.11万,572.23亿元,蒙C,地级市,内蒙古自治区
207,金昌市,Jinchang,镍都,46.86万人,264.24亿元,甘C,地级市,甘肃省
208,崇左市,Chongzuo,江州,250.54 万,,桂F,地级市,广西壮族自治区
209,汉中市,Hanzhong City,梁州、褒国、天汉、兴元府、南郑、,380.94万人,1547.59亿元,陕F,地级市,陕西省
210,深圳市,Shenzhen,鹏城,1343.88万人,26927.09亿元,粤B,地级市,广东省
211,上海,Shanghai,沪、申城、魔都,2428.14 万,38155.32 亿元,沪A-沪N,直辖市,上海
212,西双版纳傣族自治州,Dai Autonomous Prefecture of Xishuangbanna/Sipsongpanna,勐巴拉娜西,118.0万人,4177884万元,云K,自治州,云南省
213,三门峡市,Sanmenxia,上阳城 陕州,227.65万人,1443.82亿元,豫M,地级市,河南省
214,南阳市,Nanyang City,南都、 帝乡、玉都、药都、曲艺之乡,1003.16万人,3814.98亿元,豫R,地级市,河南省
215,淮南市,Huai nan,州来、寿春、下蔡,349.0万人,1296.2亿元,皖D,地级市,安徽省
216,松原市,Songyuan,扶余,275万,1373.6亿元,吉J,地级市,吉林省
217,景德镇市,Jingdezhen City,瓷都,167.3213万人,926.11亿元,赣H,地级市,江西省
218,枣庄市,ZaoZhuang,煤城,392.73万人,1693.91亿元,鲁D,地级市,山东省
220,绍兴市,Shaoxing City,会稽、山阴、越州,505.7万,5781亿元(2019年),浙D,地级市,浙江省
221,南昌市,Nanchang,洪城、洪都、豫章、龙兴路、英雄城、南都、洪州、隆兴府,560.06 万,5596.18亿元,赣A、赣M,地级市,江西省
222,六盘水市,Liupanshui City,中国凉都,295.05 万,,贵B,地级市,贵州省
223,中山市,Chungshan、Zhongshan,香山,331.00万人,3101.10亿元,粤T,地级市,广东省
224,福州市,Fuzhou、Hockchew、Foochow,榕城、三山、东越、左海、冶城,780万人,9392.30亿元,闽A、闽K（平潭县）,地级市,福建省
225,阿勒泰地区,Altay Prefecture,nan,671616人,339.16 亿元,新H,地区,新疆维吾尔自治区
226,天水市,Tianshui,上邽、成纪、秦州,335.49万,652.05亿元,甘E,地级市,甘肃省
